Record_No,PMID,Title,Authors,Citation,First_Author,Journal_or_Book,Publication_Year,Create_Date,PMCID,DOI
335,39441118,Hypoxanthine Produces Rapid Antidepressant Effects by Suppressing Inflammation in Serum and Hippocampus,"Wu L, Chen J, Yu Q, Lu C, Shu Y.",ACS Chem Neurosci. 2024 Nov 6;15(21):3970-3980. doi: 10.1021/acschemneuro.4c00345. Epub 2024 Oct 23.,Wu L,ACS Chem Neurosci,2024,2024-10-23,,10.1021/acschemneuro.4c00345
336,28886020,Low plasma cortisol and fecal cortisol metabolite measures as indicators of compromised welfare in domestic horses (Equus caballus),"Pawluski J, Jego P, Henry S, Bruchet A, Palme R, Coste C, Hausberger M.",PLoS One. 2017 Sep 8;12(9):e0182257. doi: 10.1371/journal.pone.0182257. eCollection 2017.,Pawluski J,PLoS One,2017,2017-09-09,PMC5590897,10.1371/journal.pone.0182257
337,24021924,Are cats (Felis catus) from multi-cat households more stressed? Evidence from assessment of fecal glucocorticoid metabolite analysis,"Ramos D, Reche-Junior A, Fragoso PL, Palme R, Yanasse NK, Gouvêa VR, Beck A, Mills DS.",Physiol Behav. 2013 Oct 2;122:72-5. doi: 10.1016/j.physbeh.2013.08.028. Epub 2013 Sep 8.,Ramos D,Physiol Behav,2013,2013-09-12,,10.1016/j.physbeh.2013.08.028
338,2456280,Human urinary biogenic amines and some physiological responses during situation stress,"Helin P, Kuoppasalmi K, Laakso J, Härkönen M.",Int J Psychophysiol. 1988 Jun;6(2):125-32. doi: 10.1016/0167-8760(88)90043-8.,Helin P,Int J Psychophysiol,1988,1988-06-01,,10.1016/0167-8760(88)90043-8
339,19944105,Cortisol release and heart rate variability in horses during road transport,"Schmidt A, Möstl E, Wehnert C, Aurich J, Müller J, Aurich C.",Horm Behav. 2010 Feb;57(2):209-15. doi: 10.1016/j.yhbeh.2009.11.003. Epub 2009 Nov 26.,Schmidt A,Horm Behav,2010,2009-12-01,,10.1016/j.yhbeh.2009.11.003
340,28800105,Anti-Anxiety Effect of (-)-Syringaresnol-4-O-β-d-apiofuranosyl-(1→2)-β-d-glucopyranoside from Albizzia julibrissin Durazz (Leguminosae),"Liu J, Lv YW, Shi JL, Ma XJ, Chen Y, Zheng ZQ, Wang SN, Guo JY.",Molecules. 2017 Aug 11;22(8):1331. doi: 10.3390/molecules22081331.,Liu J,Molecules,2017,2017-08-12,PMC6152026,10.3390/molecules22081331
341,27043120,"Safety, Tolerance, and Enhanced Efficacy of a Bioavailable Formulation of Curcumin With Fenugreek Dietary Fiber on Occupational Stress: A Randomized, Double-Blind, Placebo-Controlled Pilot Study","Pandaran Sudheeran S, Jacob D, Natinga Mulakal J, Gopinathan Nair G, Maliakel A, Maliakel B, Kuttan R, Im K.",J Clin Psychopharmacol. 2016 Jun;36(3):236-43. doi: 10.1097/JCP.0000000000000508.,Pandaran Sudheeran S,J Clin Psychopharmacol,2016,2016-04-05,,10.1097/JCP.0000000000000508
342,38892694,A Cross Talking between the Gut Microbiota and Metabolites of Participants in a Confined Environment,"Song X, Wang Z, Xia Y, Chen Z, Wang G, Yang Y, Zhu B, Ai L, Xu H, Wang C.",Nutrients. 2024 Jun 4;16(11):1761. doi: 10.3390/nu16111761.,Song X,Nutrients,2024,2024-06-19,PMC11175105,10.3390/nu16111761
343,18457850,"An estrogenic effect of 5alpha-androstane-3beta, 17beta-diol on the behavioral response to stress and on CRH regulation","Huang Q, Zhu H, Fischer DF, Zhou JN.",Neuropharmacology. 2008 Jun;54(8):1233-8. doi: 10.1016/j.neuropharm.2008.03.016. Epub 2008 Apr 4.,Huang Q,Neuropharmacology,2008,2008-05-07,,10.1016/j.neuropharm.2008.03.016
344,25238022,Reactive nitrogen species contribute to the rapid onset of redox changes induced by acute immobilization stress in rats,"Chen HJ, Spiers JG, Sernia C, Anderson ST, Lavidis NA.",Stress. 2014 Dec;17(6):520-7. doi: 10.3109/10253890.2014.966264.,Chen HJ,Stress,2014,2014-09-20,,10.3109/10253890.2014.966264
345,29408572,"An integrated analysis of social stress in laying hens: The interaction between physiology, behaviour, and hierarchy","Carvalho RR, Palme R, da Silva Vasconcellos A.",Behav Processes. 2018 Apr;149:43-51. doi: 10.1016/j.beproc.2018.01.016. Epub 2018 Feb 13.,Carvalho RR,Behav Processes,2018,2018-02-07,,10.1016/j.beproc.2018.01.016
346,27374554,"Morinda citrifolia leaf enhanced performance by improving angiogenesis, mitochondrial biogenesis, antioxidant, anti-inflammatory & stress responses","Mohamad Shalan NA, Mustapha NM, Mohamed S.",Food Chem. 2016 Dec 1;212:443-52. doi: 10.1016/j.foodchem.2016.05.179. Epub 2016 Jun 2.,Mohamad Shalan NA,Food Chem,2016,2016-07-05,,10.1016/j.foodchem.2016.05.179
347,19162277,"Enduring effects of severe developmental adversity, including nutritional deprivation, on cortisol metabolism in aging Holocaust survivors","Yehuda R, Bierer LM, Andrew R, Schmeidler J, Seckl JR.",J Psychiatr Res. 2009 Jun;43(9):877-83. doi: 10.1016/j.jpsychires.2008.12.003. Epub 2009 Jan 21.,Yehuda R,J Psychiatr Res,2009,2009-01-24,PMC2749458,10.1016/j.jpsychires.2008.12.003
348,30735671,Investigation of the utility of feces and hair as non-invasive measures of glucocorticoids in wild black-tailed prairie dogs (Cynomys ludovicianus),"Crill C, Janz DM, Kusch JM, Santymire RM, Heyer GP, Shury TK, Lane JE.",Gen Comp Endocrinol. 2019 May 1;275:15-24. doi: 10.1016/j.ygcen.2019.02.003. Epub 2019 Feb 5.,Crill C,Gen Comp Endocrinol,2019,2019-02-09,,10.1016/j.ygcen.2019.02.003
349,23174668,Antidepressant-like effect of trans-resveratrol in chronic stress model: behavioral and neurochemical evidences,"Yu Y, Wang R, Chen C, Du X, Ruan L, Sun J, Li J, Zhang L, O'Donnell JM, Pan J, Xu Y.",J Psychiatr Res. 2013 Mar;47(3):315-22. doi: 10.1016/j.jpsychires.2012.10.018. Epub 2012 Nov 19.,Yu Y,J Psychiatr Res,2013,2012-11-24,,10.1016/j.jpsychires.2012.10.018
350,17321556,Variable neuroendocrine responses to ecologically-relevant challenges in sticklebacks,"Bell AM, Backström T, Huntingford FA, Pottinger TG, Winberg S.",Physiol Behav. 2007 May 16;91(1):15-25. doi: 10.1016/j.physbeh.2007.01.012. Epub 2007 Feb 2.,Bell AM,Physiol Behav,2007,2007-02-27,,10.1016/j.physbeh.2007.01.012
351,11292279,Central nervous system serotonin function and cardiovascular responses to stress,"Williams RB, Marchuk DA, Gadde KM, Barefoot JC, Grichnik K, Helms MJ, Kuhn CM, Lewis JG, Schanberg SM, Stafford-Smith M, Suarez EC, Clary GL, Svenson IK, Siegler IC.",Psychosom Med. 2001 Mar-Apr;63(2):300-5. doi: 10.1097/00006842-200103000-00016.,Williams RB,Psychosom Med,2001,2001-04-09,,10.1097/00006842-200103000-00016
352,1924502,"Psychological stress-induced increases in noradrenaline release in rat brain regions are attenuated by diazepam, but not by morphine","Tanaka M, Tsuda A, Yokoo H, Yoshida M, Mizoguchi K, Shimizu T.",Pharmacol Biochem Behav. 1991 May;39(1):191-5. doi: 10.1016/0091-3057(91)90420-7.,Tanaka M,Pharmacol Biochem Behav,1991,1991-05-01,,10.1016/0091-3057(91)90420-7
353,18418364,Norepinephrine transporter regulation mediates the long-term behavioral effects of the antidepressant desipramine,"Zhao Z, Baros AM, Zhang HT, Lapiz MD, Bondi CO, Morilak DA, O'Donnell JM.",Neuropsychopharmacology. 2008 Dec;33(13):3190-200. doi: 10.1038/npp.2008.45. Epub 2008 Apr 16.,Zhao Z,Neuropsychopharmacology,2008,2008-04-18,PMC2727688,10.1038/npp.2008.45
354,30708033,Brain metabonomics study of the antidepressant-like effect of Xiaoyaosan on the CUMS-depression rats by (1)H NMR analysis,"Liu X, Zheng X, Du G, Li Z, Qin X.",J Ethnopharmacol. 2019 May 10;235:141-154. doi: 10.1016/j.jep.2019.01.018. Epub 2019 Jan 29.,Liu X,J Ethnopharmacol,2019,2019-02-02,,10.1016/j.jep.2019.01.018
355,39128569,"Gestational administration of Bifidobacterium dentium results in intergenerational modulation of inflammatory, metabolic, and social behavior","Galley JD, King MK, Rajasekera TA, Batabyal A, Woodke ST, Gur TL.",Brain Behav Immun. 2024 Nov;122:44-57. doi: 10.1016/j.bbi.2024.08.006. Epub 2024 Aug 12.,Galley JD,Brain Behav Immun,2024,2024-08-11,,10.1016/j.bbi.2024.08.006
356,23485433,Asparagus racemosus modulates the hypothalamic-pituitary-adrenal axis and brain monoaminergic systems in rats,"Krishnamurthy S, Garabadu D, Reddy NR.",Nutr Neurosci. 2013 Nov;16(6):255-61. doi: 10.1179/1476830513Y.0000000053. Epub 2013 Mar 6.,Krishnamurthy S,Nutr Neurosci,2013,2013-03-15,,10.1179/1476830513Y.0000000053
357,16860921,The effects of depressive symptoms on cardiovascular and catecholamine responses to the induction of depressive mood,"Hamer M, Tanaka G, Okamura H, Tsuda A, Steptoe A.",Biol Psychol. 2007 Jan;74(1):20-5. doi: 10.1016/j.biopsycho.2006.06.003. Epub 2006 Jul 24.,Hamer M,Biol Psychol,2007,2006-07-25,,10.1016/j.biopsycho.2006.06.003
358,35092825,Bupleurum chinense DC improves CUMS-induced depressive symptoms in rats through upregulation of the cAMP/PKA/CREB signalling pathway,"Chang B, Liu Y, Hu J, Tang Z, Qiu Z, Song Z, Jia A, Zhang Y.",J Ethnopharmacol. 2022 May 10;289:115034. doi: 10.1016/j.jep.2022.115034. Epub 2022 Jan 26.,Chang B,J Ethnopharmacol,2022,2022-01-29,,10.1016/j.jep.2022.115034
359,27828964,Chronic Treatment with the IDO1 Inhibitor 1-Methyl-D-Tryptophan Minimizes the Behavioural and Biochemical Abnormalities Induced by Unpredictable Chronic Mild Stress in Mice - Comparison with Fluoxetine,"Laugeray A, Launay JM, Callebert J, Mutlu O, Guillemin GJ, Belzung C, Barone PR.",PLoS One. 2016 Nov 9;11(11):e0164337. doi: 10.1371/journal.pone.0164337. eCollection 2016.,Laugeray A,PLoS One,2016,2016-11-10,PMC5102430,10.1371/journal.pone.0164337
360,18308340,Antidepressant-like behavioral and neurochemical effects of the citrus-associated chemical apigenin,"Yi LT, Li JM, Li YC, Pan Y, Xu Q, Kong LD.",Life Sci. 2008 Mar 26;82(13-14):741-51. doi: 10.1016/j.lfs.2008.01.007. Epub 2008 Jan 30.,Yi LT,Life Sci,2008,2008-03-01,,10.1016/j.lfs.2008.01.007
361,32135241,Deciphering the compatibility rules of traditional Chinese medicine prescriptions based on NMR metabolomics: A case study of Xiaoyaosan,"Liu X, Lv M, Wang Y, Zhao D, Zhao S, Li S, Qin X.",J Ethnopharmacol. 2020 May 23;254:112726. doi: 10.1016/j.jep.2020.112726. Epub 2020 Mar 2.,Liu X,J Ethnopharmacol,2020,2020-03-06,,10.1016/j.jep.2020.112726
362,31464319,Impact of traditional Chinese medicine treatment on chronic unpredictable mild stress-induced depression-like behaviors: intestinal microbiota and gut microbiome function,"Qu W, Liu S, Zhang W, Zhu H, Tao Q, Wang H, Yan H.",Food Funct. 2019 Sep 1;10(9):5886-5897. doi: 10.1039/c9fo00399a. Epub 2019 Aug 29.,Qu W,Food Funct,2019,2019-08-30,,10.1039/c9fo00399a
363,16639949,"Quantification of cortisol, cortisol immunoreactive metabolites, and immunoglobulin A in serum, saliva, urine, and feces for noninvasive assessment of stress in reindeer","Rehbinder C, Hau J.",Can J Vet Res. 2006 Apr;70(2):151-4.,Rehbinder C,Can J Vet Res,2006,2006-04-28,PMC1410727,
364,17085867,Immobility stress induces depression-like behavior in the forced swim test in mice: effect of magnesium and imipramine,"Poleszak E, Wlaź P, Kedzierska E, Nieoczym D, Wyska E, Szymura-Oleksiak J, Fidecka S, Radziwoń-Zaleska M, Nowak G.",Pharmacol Rep. 2006 Sep-Oct;58(5):746-52.,Poleszak E,Pharmacol Rep,2006,2006-11-07,,
365,21371861,Effect of quercetin and glucuronide metabolites on the monoamine oxidase-A reaction in mouse brain mitochondria,"Yoshino S, Hara A, Sakakibara H, Kawabata K, Tokumura A, Ishisaka A, Kawai Y, Terao J.",Nutrition. 2011 Jul-Aug;27(7-8):847-52. doi: 10.1016/j.nut.2010.09.002. Epub 2011 Mar 3.,Yoshino S,Nutrition,2011,2011-03-05,,10.1016/j.nut.2010.09.002
